,0
273,288
274,38
275,1973
276,1609
277,1938
278,3056
279,245
280,1388
281,994
282,442
283,69
284,3150
285,3248
286,679
287,707
288,2991
289,1598
290,3211
291,2897
292,441
293,3036
294,1527
295,845
296,2604
297,3075
298,180
299,1101
300,1398
301,1166
302,52
303,72
304,1192
305,1046
306,1455
307,1937
308,806
309,95
310,1887
311,2961
312,2636
313,2410
314,2152
315,3141
316,785
317,2413
318,3109
319,1951
320,1115
321,1713
322,1892
323,1053
324,111
325,1436
326,1322
327,1979
328,2704
329,997
330,1250
331,454
332,637
333,2217
334,1856
335,2090
336,2561
337,2247
338,3029
339,1824
340,335
341,2844
342,2676
343,2710
344,1437
345,285
346,1782
347,1906
348,1556
349,1794
350,1787
351,572
352,1658
353,2947
354,869
355,2281
356,2850
357,2069
358,3283
359,1845
360,3266
361,1646
362,1520
363,2472
364,2189
365,915
366,3310
367,659
368,2199
369,1443
370,1116
371,1715
372,3241
373,2567
374,5
375,2174
376,547
377,933
378,3187
379,2907
380,2839
381,1054
382,198
383,2361
384,805
385,3235
386,973
387,2337
388,3136
389,2160
390,2586
391,1976
392,3333
393,372
394,2856
395,745
396,2223
397,2786
398,2370
399,2022
400,1303
401,1543
402,3305
403,1396
404,2391
405,2925
406,3166
407,2563
408,1441
409,2922
410,1241
411,2699
412,1186
413,2647
414,1964
415,30
416,591
417,656
418,2001
419,3281
420,1563
421,2026
422,3149
423,2227
424,3253
425,484
426,1863
427,3130
428,1965
429,1076
430,2484
431,645
432,2371
433,2373
434,957
435,1439
436,2940
437,2618
438,1977
439,437
440,655
441,2313
442,1536
443,2747
444,2394
445,1430
446,2051
447,227
448,200
449,2683
450,2108
451,604
452,3086
453,446
454,279
455,2794
456,649
457,1661
458,2460
459,2840
460,3121
461,909
462,93
463,2756
464,2024
465,1380
466,825
467,2150
468,1040
469,315
470,2823
471,2406
472,1031
473,1731
474,1989
475,1647
476,1660
477,1067
478,136
479,2002
480,1345
481,334
482,291
483,126
484,2689
485,654
486,1708
487,1664
488,1581
489,1913
490,959
491,1089
492,2061
493,691
494,1667
495,1414
496,928
497,1377
498,397
499,177
500,2395
501,2812
502,1011
503,1843
504,2124
505,2934
506,1365
507,435
508,296
509,537
510,1218
511,1880
512,1264
513,2938
514,256
515,888
516,2179
517,3039
518,1408
519,1923
520,2259
521,2065
522,3328
523,2326
524,2045
525,356
526,407
527,116
528,1127
529,3230
530,1384
531,1686
532,2156
533,1023
534,1963
535,633
536,2231
537,2417
538,323
539,589
540,3342
541,2031
542,836
543,463
544,2717
545,667
546,895
547,744
548,375
549,1022
550,3119
551,480
552,1796
553,2725
554,1588
555,1405
556,3320
557,3005
558,2251
559,1759
560,3309
561,35
562,1741
563,3291
564,2239
565,506
566,2198
567,1395
568,3059
569,737
570,1233
571,2614
572,630
573,2701
574,1326
575,2973
576,1509
577,2978
578,891
579,1456
580,2049
581,243
582,548
583,1603
584,1334
585,250
586,264
587,384
588,1073
589,658
590,3205
591,2642
592,3156
593,701
594,2148
595,2745
596,2389
597,3124
598,531
599,2509
600,1412
601,2864
602,2224
603,297
604,2362
605,2071
606,1637
607,1229
608,2875
609,3090
610,1107
611,2974
612,999
613,653
614,1743
615,161
616,2822
617,416
618,2075
619,1855
620,1112
621,2887
622,1515
623,2762
624,1434
625,148
626,3018
627,3079
628,1522
629,1170
630,2987
631,2265
632,132
633,1298
634,573
635,2827
636,1208
637,868
638,2261
639,2487
640,248
641,495
642,158
643,1010
644,257
645,130
646,2258
647,2594
648,570
649,2626
650,2753
651,2378
652,3042
653,2690
654,1992
655,2232
656,326
657,2357
658,3306
659,1800
660,361
661,569
662,2123
663,1312
664,987
665,15
666,1267
667,2428
668,638
669,2034
670,2147
671,829
672,1290
673,2086
674,1764
675,1721
676,1634
677,3315
678,1460
679,1990
680,46
681,3299
682,971
683,1814
684,1619
685,2810
686,2855
687,3125
688,2954
689,3004
690,3095
691,2303
692,850
693,1570
694,2809
695,529
696,605
697,2411
698,110
699,1117
700,1542
701,1998
702,601
703,1276
704,2651
705,1249
706,2739
707,1397
708,2293
709,1835
710,2424
711,150
712,235
713,620
714,8
715,781
716,2791
717,1858
718,1590
719,789
720,320
721,756
722,996
723,3000
724,1790
725,1232
726,465
727,2102
728,2211
729,936
730,16
731,2154
732,214
733,876
734,675
735,181
736,1082
737,381
738,726
739,3012
740,319
741,2838
742,1580
743,676
744,498
745,282
746,990
747,546
748,352
749,321
750,301
751,852
752,3092
753,1868
754,1151
755,1172
756,2117
757,2595
758,1502
759,1899
760,951
761,954
762,1795
763,871
764,2402
765,2010
766,3272
767,3100
768,2091
769,3354
770,2893
771,394
772,1924
773,1045
774,582
775,1431
776,2266
777,801
778,1701
779,3348
780,515
781,1652
782,2836
783,1150
784,2291
785,840
786,2976
787,1980
788,3170
789,40
790,1935
791,487
792,2283
793,2423
794,1724
795,1888
796,1734
797,2466
798,271
799,1224
800,2648
801,1361
802,2525
803,711
804,1801
805,2878
806,1902
807,1889
808,1961
809,479
810,2497
811,2720
812,196
813,2825
814,2444
815,2946
816,1416
817,1593
818,1539
819,28
820,3053
821,2020
822,1765
823,2162
824,2304
825,1914
826,2781
827,1362
828,470
829,2706
830,1181
831,1418
832,1871
833,2260
834,1248
835,112
836,499
837,13
838,858
839,513
840,2965
841,328
842,81
843,2967
844,2655
845,500
846,2883
847,2335
848,1644
849,2732
850,1102
851,2016
852,1851
853,2948
854,2039
855,769
856,1358
857,1231
858,2807
859,2118
860,225
861,244
862,1757
863,3250
864,3273
865,398
866,1678
867,729
868,3146
869,3190
870,2210
871,192
872,1946
873,2832
874,1866
875,3302
876,3288
877,185
878,3238
879,92
880,444
881,100
882,2989
883,1600
884,2715
885,835
886,327
887,1512
888,2158
889,3327
890,2622
891,521
892,2678
893,753
894,1152
895,2249
896,2505
897,1363
898,1094
899,3229
900,1308
901,623
902,2097
903,678
904,2980
905,1572
906,2200
907,758
908,1786
909,804
910,383
911,2613
912,1508
913,1271
914,3237
915,2766
916,33
917,2914
918,1916
919,2184
920,175
921,597
922,1268
923,2724
924,1491
925,1591
926,3279
927,1737
928,3316
929,2310
930,3003
931,530
932,3192
933,2412
934,2867
935,3304
936,299
937,1169
938,2966
939,3344
940,2197
941,863
942,2952
943,881
944,1305
945,1419
946,1093
947,1633
948,2859
949,219
950,2982
951,1063
952,2956
953,358
954,935
955,1673
956,2
957,2572
958,2916
959,1772
960,3264
961,241
962,1027
963,76
964,1586
965,2929
966,664
967,109
968,1390
969,2886
970,20
971,2641
972,830
973,2485
974,1193
975,101
976,2917
977,88
978,1532
979,2761
980,3358
981,1928
982,2405
983,422
984,1144
985,2830
986,1874
987,903
988,1882
989,478
990,357
991,2927
992,1653
993,449
994,1438
995,1409
996,423
997,23
998,3167
999,2220
1000,587
1001,439
1002,1297
1003,3301
1004,2422
1005,2650
1006,1332
1007,3193
1008,1220
1009,2067
1010,393
1011,2315
1012,27
1013,2193
1014,539
1015,1272
1016,1364
1017,3340
1018,1121
1019,2285
1020,284
1021,2643
1022,1335
1023,2188
1024,2671
1025,261
1026,1458
1027,1175
1028,1908
1029,2233
1030,2302
1031,3101
1032,2912
1033,580
1034,2032
1035,2496
1036,663
1037,1465
1038,1195
1039,566
1040,2012
1041,144
1042,1379
1043,912
1044,342
1045,1650
1046,1554
1047,492
1048,2986
1049,3210
1050,2456
1051,2625
1052,1275
1053,1399
1054,1739
1055,37
1056,2789
1057,1662
1058,3111
1059,704
1060,2420
1061,1986
1062,2392
1063,2939
1064,3050
1065,1640
1066,2587
1067,2508
1068,3137
1069,1123
1070,3296
1071,2757
1072,985
1073,1666
1074,1546
1075,1740
1076,2007
1077,3117
1078,2241
1079,3300
1080,2248
1081,799
1082,1200
1083,3200
1084,2060
1085,2106
1086,1770
1087,693
1088,3123
1089,457
1090,2244
1091,2968
1092,82
1093,1849
1094,411
1095,755
1096,14
1097,1997
1098,2984
1099,2931
1100,2141
1101,141
1102,818
1103,1498
1104,1376
1105,236
1106,249
1107,493
1108,2728
1109,3208
1110,295
1111,1454
1112,1500
1113,715
1114,2440
1115,1531
1116,1020
1117,739
1118,2746
1119,554
1120,1811
1121,350
1122,2602
1123,2334
1124,697
1125,1205
1126,2047
1127,1958
1128,2305
1129,2565
1130,2895
1131,1402
1132,1202
1133,1972
1134,2970
1135,1691
1136,2300
1137,188
1138,65
1139,251
1140,2448
1141,2588
1142,1578
1143,1530
1144,2763
1145,1823
1146,310
1147,1146
1148,2716
1149,195
1150,2696
1151,459
1152,246
1153,1982
1154,776
1155,156
1156,1292
1157,1310
1158,362
1159,608
1160,39
1161,2514
1162,1490
1163,318
1164,3144
1165,624
1166,485
1167,1919
1168,2637
1169,3148
1170,771
1171,751
1172,2624
1173,3189
1174,721
1175,1259
1176,2737
1177,575
1178,2964
1179,1766
1180,1564
1181,1521
1182,821
1183,1158
1184,1487
1185,3335
1186,976
1187,797
1188,562
1189,142
1190,2226
1191,2829
1192,468
1193,2351
1194,1576
1195,1052
1196,980
1197,1559
1198,3361
1199,3022
1200,1815
1201,2504
1202,3217
1203,2486
1204,1407
1205,2801
1206,3356
1207,1506
1208,226
1209,1427
1210,2033
1211,1776
1212,451
1213,819
1214,2831
1215,135
1216,337
1217,1571
1218,2888
1219,1665
1220,3329
1221,3245
1222,748
1223,1477
1224,2275
1225,230
1226,191
1227,2309
1228,692
1229,2718
1230,1752
1231,514
1232,2528
1233,3260
1234,1767
1235,626
1236,1917
1237,2008
1238,3025
1239,2471
1240,616
1241,2738
1242,1756
1243,2386
1244,1878
1245,1125
1246,2559
1247,2765
1248,1191
1249,1894
1250,2700
1251,2474
1252,1836
1253,57
1254,476
1255,1869
1256,932
1257,3321
1258,448
1259,1747
1260,2101
1261,209
1262,3129
1263,325
1264,1704
1265,265
1266,1703
1267,779
1268,2366
1269,503
1270,1342
1271,2535
1272,2512
1273,628
1274,1728
1275,3339
1276,1037
1277,2464
1278,445
1279,370
1280,508
1281,2654
1282,1981
1283,2580
1284,433
1285,1618
1286,1225
1287,2085
1288,2880
1289,510
1290,307
1291,3219
1292,2571
1293,2995
1294,302
1295,2379
1296,978
1297,2274
1298,1055
1299,944
1300,941
1301,698
1302,1631
1303,124
1304,1926
1305,2985
1306,2537
1307,738
1308,1959
1309,824
1310,1568
1311,253
1312,1809
1313,1774
1314,808
1315,1351
1316,3010
1317,2207
1318,2359
1319,2924
1320,963
1321,1808
1322,2350
1323,2853
1324,877
1325,3185
1326,1876
1327,1114
1328,2638
1329,3308
1330,1510
1331,2132
1332,669
1333,518
1334,3203
1335,834
1336,2308
1337,1095
1338,780
1339,685
1340,1273
1341,149
1342,851
1343,1820
1344,2548
1345,3345
1346,3070
1347,1090
1348,2527
1349,270
1350,706
1351,1996
1352,849
1353,2240
1354,1325
1355,1648
1356,2380
1357,2932
1358,2399
1359,2213
1360,44
1361,3207
1362,1773
1363,1296
1364,266
1365,2960
1366,734
1367,1080
1368,2634
1369,1779
1370,290
1371,2286
1372,86
1373,2842
1374,2005
1375,2814
1376,2084
1377,1697
1378,2873
1379,3108
1380,359
1381,3061
1382,367
1383,2136
1384,1452
1385,2349
1386,157
1387,2465
1388,3120
1389,1656
1390,1219
1391,1915
1392,2546
1393,399
1394,1861
1395,2589
1396,874
1397,108
1398,2811
1399,3045
1400,1736
1401,648
1402,3275
1403,2292
1404,2695
1405,66
1406,2783
1407,2212
1408,993
1409,556
1410,1207
1411,3028
1412,1223
1413,3054
1414,2521
1415,273
1416,2944
1417,343
1418,1167
1419,2446
1420,19
1421,1798
1422,1119
1423,1199
1424,3154
1425,2494
1426,1499
1427,1131
1428,2312
1429,1955
1430,3040
1431,322
1432,486
1433,2375
1434,1496
1435,892
1436,2593
1437,2866
1438,3204
1439,3265
1440,983
1441,2143
1442,2957
1443,1583
1444,2870
1445,341
1446,179
1447,2112
1448,2110
1449,211
1450,992
1451,2885
1452,612
1453,507
1454,576
1455,2346
1456,3336
1457,1129
1458,1081
1459,2467
1460,1329
1461,1283
1462,2516
1463,1154
1464,1371
1465,1470
1466,961
1467,584
1468,560
1469,2201
1470,647
1471,3228
1472,1459
1473,1137
1474,3165
1475,1775
1476,2133
1477,276
1478,12
1479,3221
1480,2119
1481,3066
1482,1589
1483,2983
1484,2468
1485,2175
1486,365
1487,1643
1488,2849
1489,1726
1490,2157
1491,1933
1492,386
1493,1535
1494,1710
1495,2364
1496,2077
1497,443
1498,2113
1499,1327
1500,872
1501,376
1502,3178
1503,893
1504,2902
1505,1853
1506,2663
1507,1237
1508,741
1509,371
1510,430
1511,866
1512,2936
1513,2598
1514,1943
1515,1049
1516,1901
1517,1839
1518,1676
1519,586
1520,1494
1521,672
1522,1440
1523,1341
1524,190
1525,1971
1526,710
1527,2659
1528,694
1529,380
1530,2900
1531,1204
1532,1036
1533,1514
1534,2513
1535,1445
1536,2295
1537,3001
1538,1061
1539,2352
1540,504
1541,2287
1542,1810
1543,456
1544,1044
1545,2597
1546,317
1547,2342
1548,2539
1549,1898
1550,2569
1551,131
1552,58
1553,2920
1554,1336
1555,595
1556,2524
1557,723
1558,598
1559,2750
1560,787
1561,2668
1562,526
1563,671
1564,59
1565,1216
1566,3322
1567,1974
1568,2429
1569,1320
1570,690
1571,639
1572,660
1573,719
1574,1930
1575,2607
1576,1261
1577,1585
1578,981
1579,2131
1580,1738
1581,2048
1582,3278
1583,2477
1584,848
1585,873
1586,464
1587,2100
1588,2979
1589,2955
1590,838
1591,1547
1592,2381
1593,3009
1594,766
1595,1088
1596,1723
1597,596
1598,2869
1599,154
1600,1244
1601,709
1602,1108
1603,1516
1604,1711
1605,2555
1606,2667
1607,884
1608,62
1609,2851
1610,3163
1611,1078
1612,99
1613,3008
1614,2430
1615,1211
1616,3318
1617,934
1618,3227
1619,651
1620,1422
1621,447
1622,1463
1623,1316
1624,559
1625,2268
1626,950
1627,3152
1628,197
1629,1100
1630,1695
1631,968
1632,29
1633,2076
1634,1942
1635,541
1636,222
1637,2596
1638,1236
1639,1187
1640,2843
1641,831
1642,1333
1643,425
1644,1337
1645,2155
1646,1355
1647,1557
1648,2348
1649,544
1650,2318
1651,705
1652,2688
1653,2951
1654,2713
1655,83
1656,1109
1657,2314
1658,2950
1659,1486
1660,3236
1661,3182
1662,1806
1663,314
1664,772
1665,2458
1666,143
1667,54
1668,125
1669,2144
1670,1002
1671,1621
1672,2657
1673,488
1674,203
1675,859
1676,902
1677,718
1678,170
1679,55
1680,1289
1681,2928
1682,930
1683,1163
1684,346
1685,1623
1686,1118
1687,2353
1688,3312
1689,2384
1690,369
1691,355
1692,1574
1693,2568
1694,894
1695,3157
1696,1087
1697,1392
1698,1007
1699,3057
1700,1254
1701,2606
1702,1374
1703,2066
1704,1931
1705,218
1706,349
1707,2615
1708,186
1709,2081
1710,330
1711,2871
1712,231
1713,2835
1714,3145
1715,1922
1716,3104
1717,713
1718,857
1719,1753
1720,878
1721,1947
1722,1056
1723,1018
1724,913
1725,1378
1726,2205
1727,252
1728,415
1729,1587
1730,790
1731,4
1732,795
1733,2858
1734,2662
1735,1164
1736,395
1737,298
1738,2800
1739,889
1740,2388
1741,2664
1742,2396
1743,1282
1744,2592
1745,1842
1746,1039
1747,3159
1748,2585
1749,3049
1750,540
1751,699
1752,1696
1753,306
1754,2736
1755,2541
1756,1182
1757,85
1758,3247
1759,1198
1760,2434
1761,1319
1762,905
1763,1925
1764,129
1765,1489
1766,2705
1767,536
1768,2036
1769,2407
1770,1447
1771,3331
1772,716
1773,1960
1774,1614
1775,1579
1776,2482
1777,2149
1778,2083
1779,2176
1780,461
1781,377
1782,2419
1783,1777
1784,2564
1785,2975
1786,635
1787,1897
1788,42
1789,2921
1790,1983
1791,3355
1792,2263
1793,686
1794,682
1795,684
1796,969
1797,2339
1798,212
1799,1669
1800,77
1801,2740
1802,2017
1803,331
1804,553
1805,1540
1806,3168
1807,2280
1808,1651
1809,2377
1810,2168
1811,151
1812,1420
1813,1707
1814,2543
1815,602
1816,2911
1817,3334
1818,2793
1819,3184
1820,2125
1821,826
1822,26
1823,1857
1824,1201
1825,1140
1826,418
1827,2088
1828,2945
1829,199
1830,2142
1831,3357
1832,2972
1833,2418
1834,2520
1835,2172
1836,1386
1837,2246
1838,1558
1839,3240
1840,2080
1841,176
1842,2778
1843,1188
1844,207
1845,2459
1846,1932
1847,1602
1848,1549
1849,542
1850,2653
1851,1671
1852,1400
1853,287
1854,2369
1855,2092
1856,1817
1857,1984
1858,2711
1859,731
1860,2340
1861,1178
1862,2109
1863,2792
1864,3047
1865,966
1866,2627
1867,1212
1868,549
1869,3067
1870,550
1871,2617
1872,1684
1873,810
1874,1203
1875,800
1876,703
1877,1884
1878,565
1879,1099
1880,2043
1881,1270
1882,1174
1883,501
1884,18
1885,1481
1886,687
1887,2059
1888,773
1889,1821
1890,2996
1891,497
1892,2686
1893,942
1894,2115
1895,2848
1896,43
1897,3087
1898,1159
1899,749
1900,1034
1901,1338
1902,2311
1903,2506
1904,538
1905,3021
1906,2215
1907,2042
1908,2652
1909,1505
1910,1103
1911,1771
1912,2609
1913,3271
1914,2536
1915,2677
1916,967
1917,2461
1918,2035
1919,347
1920,351
1921,25
1922,833
1923,1954
1924,1141
1925,242
1926,3043
1927,2834
1928,986
1929,2795
1930,579
1931,908
1932,2630
1933,2322
1934,268
1935,1256
1936,1560
1937,599
1938,1503
1939,2803
1940,1968
1941,1677
1942,2919
1943,2360
1944,3252
1945,1555
1946,517
1947,2673
1948,946
1949,1818
1950,643
1951,1730
1952,1120
1953,558
1954,3173
1955,1611
1956,2225
1957,947
1958,260
1959,240
1960,1812
1961,879
1962,1051
1963,1165
1964,1385
1965,953
1966,1383
1967,3103
1968,1608
1969,1780
1970,2529
1971,1069
1972,929
1973,2327
1974,644
1975,2510
1976,1035
1977,988
1978,1366
1979,1597
1980,1469
1981,2782
1982,2272
1983,1927
1984,70
1985,2138
1986,2639
1987,730
1988,3363
1989,1160
1990,901
1991,2802
1992,10
1993,995
1994,1816
1995,940
1996,333
1997,945
1998,1003
1999,210
2000,336
2001,3317
2002,1548
2003,1246
2004,2787
2005,1988
2006,438
2007,2057
2008,600
2009,2282
2010,404
2011,3338
2012,2437
2013,1903
2014,1393
2015,809
2016,3019
2017,627
2018,45
2019,2649
2020,555
2021,1784
2022,280
2023,2847
2024,768
2025,127
2026,2463
2027,1975
2028,2145
2029,2675
2030,3179
2031,657
2032,3234
2033,2203
2034,1533
2035,453
2036,717
2037,483
2038,3052
2039,1008
2040,172
2041,1135
2042,3298
2043,1744
2044,742
2045,1830
2046,2242
2047,1891
2048,2806
2049,1541
2050,3186
2051,169
2052,3181
2053,2441
2054,432
2055,1864
2056,481
2057,1240
2058,2447
2059,378
2060,2768
2061,2037
2062,2734
2063,490
2064,2656
2065,1024
2066,2191
2067,943
2068,3026
2069,429
2070,1124
2071,2904
2072,3161
2073,2439
2074,3084
2075,1523
2076,1156
2077,681
2078,2196
2079,168
2080,3319
2081,1910
2082,1252
2083,1253
2084,3089
2085,3011
2086,2599
2087,2533
2088,147
2089,1142
2090,937
2091,1097
2092,3270
2093,3231
2094,609
2095,311
2096,2628
2097,1755
2098,2298
2099,1284
2100,1544
2101,1895
2102,2526
2103,2591
2104,3232
2105,174
2106,1350
2107,267
2108,137
2109,885
2110,389
2111,205
2112,1700
2113,1013
2114,2962
2115,1785
2116,2702
2117,1038
2118,3076
2119,3285
2120,2243
2121,379
2122,2558
2123,3153
2124,2758
2125,2151
2126,1890
2127,3261
2128,164
2129,2492
2130,2857
2131,2164
2132,3303
2133,1324
2134,1104
2135,1492
2136,2273
2137,1171
2138,1228
2139,2608
2140,1797
2141,571
2142,1714
2143,695
2144,3350
2145,2409
2146,120
2147,2014
2148,1098
2149,2063
2150,412
2151,3037
2152,1526
2153,975
2154,1411
2155,607
2156,1068
2157,1596
2158,3131
2159,2116
2160,2455
2161,606
2162,2905
2163,1367
2164,1143
2165,2958
2166,2562
2167,1601
2168,3255
2169,1263
2170,2629
2171,1079
2172,3225
2173,955
2174,783
2175,2612
2176,1000
2177,2584
2178,1748
2179,167
2180,615
2181,3297
2182,2054
2183,1672
2184,2808
2185,2163
2186,1047
2187,665
2188,1126
2189,1616
2190,886
2191,1110
2192,458
2193,1085
2194,278
2195,1484
2196,2891
2197,2697
2198,2438
2199,1446
2200,2632
2201,2501
2202,428
2203,1257
2204,1149
2205,2288
2206,1482
2207,1226
2208,920
2209,1346
2210,2828
2211,1907
2212,3096
2213,1993
2214,2290
2215,1635
2216,1841
2217,1545
2218,2073
2219,2130
2220,21
2221,128
2222,2575
2223,977
2224,1404
2225,1243
2226,2431
2227,632
2228,50
2229,1266
2230,1636
2231,2058
2232,750
2233,1214
2234,592
2235,2452
2236,2321
2237,3058
2238,2933
2239,1575
2240,1518
2241,2748
2242,2550
2243,1356
2244,63
2245,1234
2246,1967
2247,1210
2248,2400
2249,2403
2250,2094
2251,1083
2252,237
2253,11
2254,1615
2255,1936
2256,642
2257,1893
2258,71
2259,2707
2260,2046
2261,1886
2262,24
2263,998
2264,1340
2265,534
2266,1834
2267,403
2268,2804
2269,2963
2270,2489
2271,2062
2272,2221
2273,1183
2274,2358
2275,436
2276,1468
2277,1825
2278,1262
2279,3347
2280,775
2281,948
2282,3222
2283,3267
2284,1478
2285,1729
2286,918
2287,408
2288,2436
2289,2068
2290,1829
2291,3263
2292,618
2293,1985
2294,419
2295,1944
2296,1680
2297,3292
2298,1370
2299,1033
2300,588
2301,1761
2302,2082
2303,3246
2304,61
2305,1781
2306,2462
2307,3213
2308,2726
2309,2879
2310,1435
2311,1426
2312,2096
2313,1655
2314,1994
2315,2552
2316,1582
2317,3138
2318,3353
2319,283
2320,1251
2321,2128
2322,883
2323,1323
2324,160
2325,247
2326,522
2327,528
2328,843
2329,2959
2330,1381
2331,1176
2332,2551
2333,2799
2334,1565
2335,1134
2336,413
2337,3242
2338,2631
2339,2845
2340,2490
2341,1483
2342,1084
2343,1702
2344,1921
2345,2876
2346,1368
2347,1649
2348,3122
2349,2475
2350,2751
2351,2780
2352,228
2353,2028
2354,385
2355,1059
2356,41
2357,1461
2358,2134
2359,49
2360,1905
2361,2257
2362,543
2363,277
2364,2997
2365,1679
2366,611
2367,3014
2368,982
2369,965
2370,519
2371,2264
2372,1789
2373,3352
2374,3313
2375,3169
2376,1432
2377,1029
2378,1552
2379,2323
2380,2992
2381,1613
2382,2341
2383,424
2384,2355
2385,3080
2386,807
2387,3314
2388,864
2389,861
2390,2299
2391,662
2392,1999
2393,2171
2394,2730
2395,1612
2396,173
2397,182
2398,822
2399,1016
2400,1550
2401,3175
2402,765
2403,75
2404,373
2405,2206
2406,1472
2407,3142
2408,2672
2409,2749
2410,512
2411,1939
2412,2284
2413,0
2414,3107
2415,1606
2416,1745
2417,2953
2418,3341
2419,1017
2420,1060
2421,1476
2422,2279
2423,3233
2424,2519
2425,1328
2426,1077
2427,2320
2428,2994
2429,3113
2430,880
2431,1682
2432,3364
2433,1354
2434,106
2435,926
2436,1746
2437,2038
2438,281
2439,1507
2440,614
2441,792
2442,1291
2443,590
2444,1712
2445,2660
2446,2798
2447,2365
2448,139
2449,2139
2450,2185
2451,3206
2452,1804
2453,1012
2454,2923
2455,1875
2456,215
2457,899
2458,338
2459,2427
2460,2270
2461,206
2462,3035
2463,523
2464,1517
2465,312
2466,2990
2467,1277
2468,617
2469,159
2470,1466
2471,2570
2472,1929
2473,1719
2474,921
2475,1307
2476,2297
2477,2942
2478,1683
2479,907
2480,471
2481,239
2482,842
2483,3282
2484,952
2485,3062
2486,208
2487,2114
2488,1987
2489,2640
2490,1014
2491,760
2492,32
2493,1177
2494,2685
2495,2306
2496,2367
2497,3289
2498,2547
2499,793
2500,2276
2501,1480
2502,2841
2503,2245
2504,890
2505,1311
2506,1688
2507,3280
2508,193
2509,1720
2510,1130
2511,1763
2512,289
2513,583
2514,2183
2515,187
2516,641
2517,1706
2518,2603
2519,117
2520,2317
2521,2445
2522,2824
